complaint_id,victim_lat,victim_lon,fraud_type,bank,amount_inr,complaint_text,incident_time,complaint_time,mule_chain,noise_nodes,withdrawal_atm_id,withdrawal_atm_name,withdrawal_lat,withdrawal_lon,withdrawal_time,victim_to_withdrawal_km
CMP00016,12.985814,77.604806,KYC Update Scam,Punjab National Bank,24500.0,"I received a message from someone claiming to be Punjab National Bank saying my KYC was outdated. The link took me to a fake portal where I entered my Aadhaar and PAN. Later, ₹9,800 was missing.",2026-08-05T21:40:03.899387,2026-08-06T07:52:12.222488,"[""MULE-QT998543"", ""MULE-XH932528"", ""MULE-RT568557""]",[],5229456539,Kotak Mahindra Bank,12.9894569,77.5735286,2026-08-07T09:44:52.099666,3.41
CMP00017,12.96129,77.626471,Fake Loan App,Punjab National Bank,5700.0,I applied for a quick personal loan through an app I found online. After paying a 'processing fee' the app disappeared and my money is gone.,2026-07-27T20:10:40.328713,2026-07-29T14:26:35.540178,"[""MULE-MN135182"", ""MULE-QT998543"", ""MULE-DU534624"", ""MULE-GM749894""]",[],2245734528,Citibank,12.9737802,77.5433493,2026-07-28T17:41:52.824530,9.11
CMP00018,12.881704,77.651207,Investment Fraud,Punjab National Bank,7700.0,"A Telegram group admin guided me to a crypto trading platform that showed fake profits. When I tried to withdraw, they asked for more 'tax' payments. I've lost ₹45,000.",2026-07-29T04:27:52.832783,2026-07-30T13:37:14.841808,"[""MULE-RC524082"", ""MULE-AK084271"", ""MULE-EC930103""]",[],3198659800,ICICI Bank,12.9169799,77.6338738,2026-07-30T22:17:13.250470,4.35
CMP00019,12.839246,77.744949,Fake Loan App,Canara Bank,12100.0,"I applied for emergency funds through a loan app. They kept asking for more fees — processing, GST, document verification — each time promising the loan was 'almost disbursed'.",2026-07-28T19:53:29.535939,2026-07-30T05:54:38.669335,"[""MULE-EH775204"", ""MULE-JK718227"", ""MULE-SR525534"", ""MULE-TP389083""]",[],2619354951,Canara Bank,12.8777704,77.6386842,2026-07-30T01:26:58.653893,12.29
CMP00020,12.830838,77.695029,Job Fraud,ICICI Bank,59300.0,"A company contacted me on WhatsApp offering a data-entry job. They asked for a 'training fee' of ₹3,000 upfront. After I paid, the number became unreachable.",2026-08-13T23:05:25.752616,2026-08-15T16:39:33.326670,"[""MULE-NT182449"", ""MULE-JZ671902"", ""MULE-WA941318""]",[],1367646343,HDFC Bank,12.9251154,77.6817088,2026-08-15T22:05:28.104795,10.58
CMP00021,12.87445,77.539799,Investment Fraud,HDFC Bank,13800.0,"An Instagram ad for a stock-trading course led me to a platform where I deposited money. The dashboard showed growing returns but when I tried to cash out, my account was frozen.",2026-08-07T11:42:57.352022,2026-08-09T05:38:37.871899,"[""MULE-ZX884969"", ""MULE-DU534624"", ""MULE-XZ095701""]",[],1789726918,Unknown ATM,12.9604086,77.5633761,2026-08-09T05:46:36.651624,9.89
CMP00022,13.003855,77.710915,UPI QR Scam,SBI,47200.0,"Someone posing as a buyer on an online marketplace asked me to scan a QR code to 'receive' payment. Instead, money was deducted from my SBI account.",2026-08-13T00:30:02.230954,2026-08-14T18:39:35.799333,"[""MULE-GF978820"", ""MULE-QH808412"", ""MULE-LB386774""]",[],3347894592,Karnataka Bank Ltd,12.9299967,77.6765388,2026-08-13T17:28:17.968648,9.02
CMP00023,12.813316,77.609014,KYC Update Scam,Axis Bank,43600.0,"I received a message from someone claiming to be Axis Bank saying my KYC was outdated. The link took me to a fake portal where I entered my Aadhaar and PAN. Later, ₹9,800 was missing.",2026-07-29T11:02:27.593276,2026-07-30T08:01:39.448612,"[""MULE-QO959310"", ""MULE-QQ909133"", ""MULE-OG482814"", ""MULE-KA123281""]",[],11420450121,Kotak Mahindra Bank ATM,12.9783605,77.6353351,2026-07-31T08:53:37.415555,18.57
CMP00024,12.857552,77.666232,Job Fraud,ICICI Bank,19700.0,I was promised a freelance project and asked to pay a 'tool access fee' to begin. The company's website and contact details disappeared the next day.,2026-08-01T13:17:59.548335,2026-08-02T16:49:56.546917,"[""MULE-EC930103"", ""MULE-TS974034"", ""MULE-XH932528""]",[],1166727538,Axis bank ATM private to Ferns Icon,12.9790704,77.693907,2026-08-02T12:21:18.113851,13.84
CMP00025,12.941956,77.725295,Investment Fraud,ICICI Bank,13000.0,I invested in a trading scheme promoted on social media that promised high returns. The platform is no longer accessible and I've lost my money.,2026-08-10T09:19:05.750579,2026-08-10T23:17:53.225833,"[""MULE-BH713493"", ""MULE-DK832421""]",[],1186831429,Unknown ATM,12.9954058,77.6992647,2026-08-11T19:12:00.450628,6.58
CMP00026,12.807328,77.561211,Job Fraud,HDFC Bank,2400.0,"Someone offered me a part-time job posting ads online. They said I needed to pay a 'security deposit' before starting. After transferring the money, they blocked me.",2026-08-13T01:51:35.243675,2026-08-13T22:02:44.656556,"[""MULE-CH346578"", ""MULE-QT998543"", ""MULE-ST994717"", ""MULE-FM648877""]",[],2030147384,Unknown ATM,12.8921693,77.5836432,2026-08-14T10:18:35.769243,9.74
CMP00027,13.008774,77.616137,KYC Update Scam,Axis Bank,68400.0,"I got a message saying my Axis Bank KYC would expire unless I updated it via a link. After entering my details, money was withdrawn from my account.",2026-07-21T11:52:01.152604,2026-07-22T10:02:56.124759,"[""MULE-DF534874"", ""MULE-OR659401"", ""MULE-QH808412"", ""MULE-WW990490""]",[],2416036211,HDFC Bank,12.9147548,77.6844059,2026-07-23T03:31:35.342784,12.81
CMP00028,12.847747,77.715374,Job Fraud,Bank of Baroda,9200.0,"A company contacted me on WhatsApp offering a data-entry job. They asked for a 'training fee' of ₹3,000 upfront. After I paid, the number became unreachable.",2026-07-25T13:18:16.366815,2026-07-27T05:41:52.920636,"[""MULE-WR848018"", ""MULE-ZP427849"", ""MULE-WR848018""]",[],3197266302,State Bank of India,12.9546272,77.7051109,2026-07-26T06:57:05.843408,11.94
CMP00029,12.845842,77.553488,Job Fraud,Kotak Mahindra Bank,11800.0,"I applied for a remote job and was hired immediately without an interview. They asked me to pay for a 'background check' via UPI. Once I paid, all communication stopped.",2026-08-04T20:49:16.275840,2026-08-05T23:05:42.780866,"[""MULE-OQ640052"", ""MULE-PX384251"", ""MULE-DF534874""]",[],6657899661,Unknown ATM,12.8789708,77.6378821,2026-08-05T20:17:01.340036,9.86
CMP00030,12.889584,77.597497,Job Fraud,Axis Bank,38800.0,"Someone offered me a part-time job posting ads online. They said I needed to pay a 'security deposit' before starting. After transferring the money, they blocked me.",2026-08-02T13:34:20.616257,2026-08-03T00:29:41.715777,"[""MULE-EW429671"", ""MULE-AS655125"", ""MULE-FU746807""]",[],4486708997,Unknown ATM,12.8850398,77.5703422,2026-08-03T13:52:39.015835,2.99
CMP00031,12.977568,77.66575,OTP Phishing,Kotak Mahindra Bank,11400.0,"A person pretending to be from Kotak Mahindra Bank called me and said my card needed verification. I shared the OTP they sent and ₹8,500 vanished from my account within minutes.",2026-07-27T20:53:39.821642,2026-07-29T14:34:11.403449,"[""MULE-XH932528"", ""MULE-WU489638"", ""MULE-JO331509""]",[],1468032550,Punjab National Bank,12.9805966,77.6074314,2026-07-28T10:31:37.250451,6.33
CMP00032,13.03437,77.662939,OTP Phishing,Axis Bank,6000.0,"A person pretending to be from Axis Bank called me and said my card needed verification. I shared the OTP they sent and ₹8,500 vanished from my account within minutes.",2026-07-23T18:37:50.790909,2026-07-25T10:59:38.923624,"[""MULE-DM680876"", ""MULE-IP376724"", ""MULE-MD269166""]",[],3257966388,State Bank of India,12.9757975,77.6044854,2026-07-25T02:43:36.742185,9.08
CMP00033,13.024378,77.528633,Fake Loan App,Bank of Baroda,85300.0,I applied for a quick personal loan through an app I found online. After paying a 'processing fee' the app disappeared and my money is gone.,2026-08-04T20:26:36.905258,2026-08-06T00:25:51.994517,"[""MULE-ZP427849"", ""MULE-DD309805"", ""MULE-JI977034""]",[],7160302091,State Bank of India,12.9774664,77.5918137,2026-08-06T17:27:24.645121,8.61
CMP00034,12.836317,77.745961,OTP Phishing,Punjab National Bank,124700.0,"A fraudster called claiming to be a Punjab National Bank agent and asked for my card OTP to process a refund. After sharing it, I noticed unauthorized transactions on my account.",2026-08-17T03:05:29.796109,2026-08-17T23:56:22.436372,"[""MULE-JO331509"", ""MULE-TK771093"", ""MULE-JK718227""]",[],2387044171,HDFC Bank ATM,12.9051894,77.6396903,2026-08-18T00:39:20.112593,13.83
CMP00035,12.930646,77.683449,Investment Fraud,Bank of Baroda,10500.0,"A person on LinkedIn convinced me to invest in a 'low-risk' forex scheme. The platform initially let me withdraw small amounts, but after a large deposit, it became unreachable.",2026-07-29T14:54:26.358716,2026-07-31T05:47:48.425132,"[""MULE-DH086131"", ""MULE-XH932528"", ""MULE-EE274846""]",[],4172485190,Axis Bank,12.9725024,77.6508886,2026-07-30T19:30:38.102171,5.84
CMP00036,12.9831,77.594747,OTP Phishing,Canara Bank,11700.0,"Someone fraudulently called me posing as Canara Bank support and convinced me to reveal my OTP. Right after that, money was deducted from my account without my knowledge.",2026-07-27T14:39:12.508547,2026-07-27T23:47:27.124121,"[""MULE-GF978820"", ""MULE-VI826398"", ""MULE-VG104332""]",[],1947633347,HDFC Bank,13.0257883,77.5808222,2026-07-28T05:33:45.029894,4.98
CMP00037,12.921928,77.638794,Fake Loan App,Canara Bank,14000.0,An online ad led me to a loan app that asked for an upfront 'insurance charge'. I paid it but never received the loan and the company stopped responding to calls.,2026-08-15T05:15:59.814039,2026-08-16T03:03:17.662018,"[""MULE-SU465840"", ""MULE-DD309805"", ""MULE-QY602606""]",[],5261484918,State Bank of India,12.9743591,77.5711607,2026-08-15T11:59:26.994852,9.37
CMP00038,12.899237,77.675714,UPI QR Scam,Bank of Baroda,59700.0,"On an online selling platform, a buyer asked me to scan their QR code to complete the transaction. The moment I scanned it, money was pulled from my Bank of Baroda wallet.",2026-07-29T06:07:38.762609,2026-07-29T17:34:40.767671,"[""MULE-DF534874"", ""MULE-EW997278"", ""MULE-NT182449"", ""MULE-QH808412""]",[],1339408132,Federal Bank,12.9718996,77.6508166,2026-07-30T18:25:16.953506,8.52
CMP00039,13.094153,77.708157,UPI QR Scam,Axis Bank,34000.0,"On an online selling platform, a buyer asked me to scan their QR code to complete the transaction. The moment I scanned it, money was pulled from my Axis Bank wallet.",2026-07-30T06:31:26.365202,2026-07-30T15:32:50.869172,"[""MULE-ZA863794"", ""MULE-PX384251"", ""MULE-KY867533""]",[],10694997443,Unknown ATM,13.0983798,77.5731391,2026-07-30T13:07:05.598331,14.63
CMP00040,12.80368,77.571085,Job Fraud,Canara Bank,9400.0,"I applied for a remote job and was hired immediately without an interview. They asked me to pay for a 'background check' via UPI. Once I paid, all communication stopped.",2026-07-27T07:19:55.860182,2026-07-27T16:35:22.047819,"[""MULE-WV265423"", ""MULE-MS746872"", ""MULE-ZA863794""]",[],11296562026,Unknown ATM,12.9069216,77.5998856,2026-07-27T15:29:24.019820,11.9
CMP00041,12.967422,77.604044,KYC Update Scam,Axis Bank,5900.0,"A fraudster sent me a message from a Axis Bank-looking number about KYC renewal. I followed the link and filled in my details. Soon after, transactions appeared that I never made.",2026-08-12T13:33:33.279457,2026-08-13T08:07:37.921928,"[""MULE-FC057662"", ""MULE-HK219136"", ""MULE-NT182449"", ""MULE-DF534874""]",[],6621696647,Unknown ATM,12.9433649,77.5266311,2026-08-14T09:42:59.141354,8.8
CMP00042,12.847117,77.543453,OTP Phishing,ICICI Bank,38900.0,I received a call from someone claiming to be a ICICI Bank representative. They asked me to share the OTP for a 'card upgrade' and my account was debited immediately after.,2026-07-24T02:03:52.331346,2026-07-24T21:58:08.836271,"[""MULE-ZP427849"", ""MULE-ZA299737""]","[""NOISE-WP365414""]",4457339389,Standard Chartered,12.9330476,77.5822333,2026-07-25T13:01:05.247077,10.44
CMP00043,13.080101,77.606285,KYC Update Scam,Axis Bank,18500.0,"A text message warned that my Axis Bank account would be frozen if I didn't re-verify my KYC through the provided link. After submitting my information, funds were stolen.",2026-08-18T06:13:18.505738,2026-08-20T01:52:16.862869,"[""MULE-AU517187"", ""MULE-MS746872""]",[],4254080490,Federal Bank,12.940402,77.5766481,2026-08-19T22:56:25.137077,15.86
CMP00044,12.891227,77.600627,UPI QR Scam,Canara Bank,31700.0,A person on a classifieds site said they wanted to buy my item and sent a QR code for 'payment verification'. Scanning it caused an unauthorized debit from my Canara Bank account.,2026-07-24T14:57:32.838186,2026-07-24T19:16:48.394861,"[""MULE-FN819600"", ""MULE-EI107991"", ""MULE-SZ217459""]",[],12048924774,Unknown ATM,12.93857,77.5801176,2026-07-24T22:37:59.788755,5.71
CMP00045,12.81207,77.689067,Job Fraud,Canara Bank,9300.0,"I applied for a remote job and was hired immediately without an interview. They asked me to pay for a 'background check' via UPI. Once I paid, all communication stopped.",2026-08-08T19:02:58.603486,2026-08-09T04:10:13.247661,"[""MULE-CN586578"", ""MULE-JO331509"", ""MULE-DU534624""]","[""NOISE-CE634216""]",2471281381,Unknown ATM,12.9062783,77.6274095,2026-08-10T01:38:00.442828,12.43
CMP00046,12.886465,77.736298,KYC Update Scam,SBI,5300.0,An SMS stated my SBI KYC was expiring and I needed to click a link to update it. I entered my card details on the site and noticed unauthorized debits within hours.,2026-07-22T08:25:48.576694,2026-07-22T13:06:46.801259,"[""MULE-CK431611"", ""MULE-WX400504"", ""MULE-EN013267""]",[],6657899661,Unknown ATM,12.8789708,77.6378821,2026-07-23T01:01:51.282956,10.7
CMP00047,12.98679,77.624623,Job Fraud,SBI,6200.0,"A company contacted me on WhatsApp offering a data-entry job. They asked for a 'training fee' of ₹3,000 upfront. After I paid, the number became unreachable.",2026-08-02T05:15:42.154121,2026-08-02T18:26:48.770866,"[""MULE-FN819600"", ""MULE-LF386922"", ""MULE-HJ328710"", ""MULE-JO969379""]",[],11303710697,Unknown ATM,12.9060288,77.5792706,2026-08-02T16:45:51.354338,10.24
CMP00048,12.86741,77.710351,OTP Phishing,Canara Bank,25000.0,I received a call from someone claiming to be a Canara Bank representative. They asked me to share the OTP for a 'card upgrade' and my account was debited immediately after.,2026-08-03T03:11:42.575416,2026-08-04T10:27:40.932198,"[""MULE-WR848018"", ""MULE-AD311656"", ""MULE-RI474074""]",[],12224096353,Micro ATM,12.9398037,77.7475912,2026-08-03T15:39:43.009430,9.01
CMP00049,13.07656,77.62706,Fake Loan App,HDFC Bank,6800.0,"I found a loan app on social media offering low-interest personal loans. After paying the required 'stamp duty fee', the app vanished from my phone and I couldn't reach anyone.",2026-07-25T00:54:34.812410,2026-07-26T14:06:42.260098,"[""MULE-VG104332"", ""MULE-OG482814"", ""MULE-DT759464"", ""MULE-DU534624""]",[],7160302091,State Bank of India,12.9774664,77.5918137,2026-07-26T18:47:41.964262,11.66
CMP00050,12.903537,77.637979,KYC Update Scam,Kotak Mahindra Bank,12900.0,An SMS stated my Kotak Mahindra Bank KYC was expiring and I needed to click a link to update it. I entered my card details on the site and noticed unauthorized debits within hours.,2026-07-26T06:36:12.461690,2026-07-28T03:24:50.197417,"[""MULE-ZX884969"", ""MULE-WK671369""]",[],4506375513,Canara Bank,13.0030193,77.6353183,2026-07-28T01:07:36.236195,11.07
CMP00051,13.074029,77.595308,Investment Fraud,ICICI Bank,8400.0,"An Instagram ad for a stock-trading course led me to a platform where I deposited money. The dashboard showed growing returns but when I tried to cash out, my account was frozen.",2026-07-29T04:11:43.235439,2026-07-31T02:31:28.214400,"[""MULE-RX406409"", ""MULE-ZW097439"", ""MULE-PI317810""]",[],12116422271,Unknown ATM,13.0381551,77.6658727,2026-07-29T15:29:51.671434,8.62
CMP00052,12.919245,77.520079,UPI QR Scam,Kotak Mahindra Bank,19700.0,"On an online selling platform, a buyer asked me to scan their QR code to complete the transaction. The moment I scanned it, money was pulled from my Kotak Mahindra Bank wallet.",2026-07-26T20:51:01.764902,2026-07-28T03:07:24.424512,"[""MULE-WV265423"", ""MULE-EI107991"", ""MULE-TY394210"", ""MULE-SU709521""]",[],9424636020,Axis Bank,12.9614543,77.5045383,2026-07-28T16:07:22.493758,4.99
CMP00053,12.990124,77.718145,Job Fraud,ICICI Bank,99300.0,"I applied for a remote job and was hired immediately without an interview. They asked me to pay for a 'background check' via UPI. Once I paid, all communication stopped.",2026-08-11T17:21:12.401920,2026-08-13T12:45:57.916531,"[""MULE-EC930103"", ""MULE-PI317810"", ""MULE-EI107991""]",[],12972911341,Unknown ATM,12.9860032,77.7452869,2026-08-12T01:17:06.236384,2.98
CMP00054,12.872249,77.728207,Fake Loan App,Axis Bank,20000.0,An online ad led me to a loan app that asked for an upfront 'insurance charge'. I paid it but never received the loan and the company stopped responding to calls.,2026-07-25T13:37:41.062592,2026-07-26T20:25:42.754494,"[""MULE-KQ285884"", ""MULE-JW745171"", ""MULE-NI518347""]",[],1370301737,State Bank of India,12.9641783,77.7141945,2026-07-26T14:55:48.122068,10.33
CMP00055,13.099812,77.713334,OTP Phishing,Axis Bank,212000.0,"I got a call from a number that appeared to be Axis Bank. They said there was suspicious activity on my card and asked for the OTP to block it. Instead, ₹12,000 was stolen.",2026-08-18T07:02:50.542928,2026-08-19T10:42:49.323320,"[""MULE-DU534624"", ""MULE-VG104332"", ""MULE-EI107991""]",[],5019270024,Unknown ATM,13.0197152,77.6734719,2026-08-19T13:11:22.106771,9.9
CMP00056,13.07088,77.693935,Fake Loan App,Punjab National Bank,13000.0,"I downloaded a loan app that promised instant approval. They charged me a 'verification deposit' of ₹2,000 and then the app stopped opening entirely.",2026-08-15T02:28:06.427162,2026-08-16T09:12:28.084301,"[""MULE-QI685160"", ""MULE-OX175496"", ""MULE-JS078161"", ""MULE-UN137098""]",[],1085622347,Unknown ATM,13.0009914,77.6184047,2026-08-16T10:32:45.171027,11.28
CMP00057,12.973872,77.68309,OTP Phishing,Bank of Baroda,58000.0,"Someone fraudulently called me posing as Bank of Baroda support and convinced me to reveal my OTP. Right after that, money was deducted from my account without my knowledge.",2026-07-26T22:33:05.782592,2026-07-28T10:33:25.010496,"[""MULE-CC174612"", ""MULE-RD387262"", ""MULE-IY471138"", ""MULE-AP758692""]",[],4619897393,Unknown ATM,12.9582106,77.5348921,2026-07-27T11:55:42.561243,16.15
CMP00058,13.041947,77.68664,UPI QR Scam,HDFC Bank,24400.0,A person on a classifieds site said they wanted to buy my item and sent a QR code for 'payment verification'. Scanning it caused an unauthorized debit from my HDFC Bank account.,2026-07-23T06:27:46.077170,2026-07-25T04:42:00.830251,"[""MULE-NC796405"", ""MULE-PW735158"", ""MULE-FQ064317"", ""MULE-IY390053""]",[],12116422270,Unknown ATM,13.0375671,77.6651503,2026-07-23T18:22:28.537839,2.38
CMP00059,13.001849,77.668085,KYC Update Scam,Kotak Mahindra Bank,18700.0,"I received a message from someone claiming to be Kotak Mahindra Bank saying my KYC was outdated. The link took me to a fake portal where I entered my Aadhaar and PAN. Later, ₹9,800 was missing.",2026-08-06T05:39:48.113554,2026-08-06T11:18:35.297030,"[""MULE-HK219136"", ""MULE-WV265423"", ""MULE-ZA299737"", ""MULE-VX183933""]",[],12580943040,HDFC Bank,12.8967568,77.6584355,2026-08-06T21:29:01.985168,11.73
CMP00060,13.083878,77.576091,Job Fraud,HDFC Bank,34300.0,I was offered a work-from-home job and asked to pay a 'registration fee' via UPI. The recruiter stopped responding after I paid.,2026-07-24T17:24:22.434408,2026-07-25T05:03:33.239954,"[""MULE-QZ904228"", ""MULE-YY210205"", ""MULE-DI395024""]",[],10047234517,Unknown ATM,12.9815781,77.6044787,2026-07-25T21:58:59.481217,11.78
CMP00061,12.924465,77.524755,Job Fraud,Kotak Mahindra Bank,126300.0,"I applied for a remote job and was hired immediately without an interview. They asked me to pay for a 'background check' via UPI. Once I paid, all communication stopped.",2026-08-11T13:12:15.203625,2026-08-11T15:15:29.688677,"[""MULE-GL811775"", ""MULE-EI107991""]",[],7156536827,HDFC Bank,12.958245,77.5336169,2026-08-12T10:45:59.333386,3.88
CMP00062,12.818165,77.56897,OTP Phishing,Canara Bank,27000.0,I received a call from someone claiming to be a Canara Bank representative. They asked me to share the OTP for a 'card upgrade' and my account was debited immediately after.,2026-07-23T13:41:09.993930,2026-07-24T21:40:03.448139,"[""MULE-XZ095701"", ""MULE-DO413164""]",[],6621696647,Unknown ATM,12.9433649,77.5266311,2026-07-24T22:38:15.709376,14.66
CMP00063,13.043916,77.55825,Fake Loan App,SBI,12100.0,"I found a loan app on social media offering low-interest personal loans. After paying the required 'stamp duty fee', the app vanished from my phone and I couldn't reach anyone.",2026-08-04T09:55:51.883925,2026-08-06T03:12:19.331536,"[""MULE-DE908470"", ""MULE-FN819600"", ""MULE-FU430391""]",[],3674560887,Unknown ATM,12.9913252,77.5713263,2026-08-04T22:00:28.706549,6.02
CMP00064,12.852274,77.5131,Investment Fraud,Kotak Mahindra Bank,140100.0,"A person on LinkedIn convinced me to invest in a 'low-risk' forex scheme. The platform initially let me withdraw small amounts, but after a large deposit, it became unreachable.",2026-08-14T17:13:19.823889,2026-08-14T23:07:13.855349,"[""MULE-JS078161"", ""MULE-ZX884969"", ""MULE-UM617711""]","[""NOISE-CE348734""]",3603794071,ICICI Bank,12.9113891,77.5531687,2026-08-15T01:53:29.799257,7.88
